time,RotX,RotY,RotZ
time,RotX,RotY,RotZ
2023-10-23 22:25:09.717382,0.33,0.2,0.02
2023-10-23 22:25:10.908299,0.33,0.22,0.02
2023-10-23 22:25:12.099250,0.35,0.23,0.02
2023-10-23 22:25:13.289575,0.36,0.23,0.01
2023-10-23 22:25:14.480603,0.36,0.22,0.0
2023-10-23 22:25:15.671958,0.43,0.27,0.77
2023-10-23 22:25:16.864031,0.66,-0.09,2.77
2023-10-23 22:25:18.054927,0.68,-0.1,2.76
2023-10-23 22:25:19.245430,0.68,-0.07,2.77
2023-10-23 22:25:20.436265,0.68,-0.07,2.79
2023-10-23 22:25:21.628096,0.67,-0.07,2.8
2023-10-23 22:25:22.819068,0.68,-0.07,2.79
2023-10-23 22:25:24.010061,0.69,-0.07,2.8
2023-10-23 22:25:25.200853,0.72,-0.07,2.82
2023-10-23 22:25:26.391803,0.72,-0.07,2.85
2023-10-23 22:25:27.582211,0.73,-0.06,2.83
2023-10-23 22:25:28.773752,0.75,-0.03,2.84
2023-10-23 22:25:29.964652,0.78,-0.02,2.83
2023-10-23 22:25:31.155865,0.79,-0.01,2.83
2023-10-23 22:25:32.346647,0.82,-0.01,2.84
2023-10-23 22:25:33.536673,0.83,0.0,2.87
2023-10-23 22:25:34.728725,0.86,-0.0,2.86
2023-10-23 22:25:35.919717,0.87,-0.01,2.86
2023-10-23 22:25:37.109656,0.88,0.01,2.85
2023-10-23 22:25:38.300462,0.91,0.03,2.85
2023-10-23 22:25:39.491298,0.92,0.04,2.85
2023-10-23 22:25:40.682571,0.94,0.06,2.82
2023-10-23 22:25:41.873531,0.96,0.08,2.82
2023-10-23 22:25:43.064519,1.0,0.09,2.86
2023-10-23 22:25:44.255388,1.01,0.11,2.86
2023-10-23 22:25:45.446308,1.04,0.15,2.84
2023-10-23 22:25:46.637521,1.05,0.15,2.83
2023-10-23 22:25:47.827667,1.05,0.16,2.83
2023-10-23 22:25:49.019607,1.06,0.18,2.83
2023-10-23 22:25:50.210217,1.06,0.19,2.81
2023-10-23 22:25:51.401313,1.08,0.22,2.82
2023-10-23 22:25:52.592316,1.1,0.23,2.81
2023-10-23 22:25:53.782477,1.11,0.25,2.8
2023-10-23 22:25:54.973806,1.1,0.26,2.8
2023-10-23 22:25:56.164994,1.11,0.28,2.77
2023-10-23 22:25:57.355191,1.11,0.28,2.79
2023-10-23 22:25:58.546446,1.1,0.29,2.79
2023-10-23 22:25:59.738055,1.1,0.3,2.8
2023-10-23 22:26:00.927922,1.09,0.31,2.8
2023-10-23 22:26:02.119956,1.11,0.33,2.81
2023-10-23 22:26:03.310809,1.13,0.34,2.8
2023-10-23 22:26:04.505025,1.15,0.34,2.77
2023-10-23 22:26:05.692910,1.15,0.37,2.77
2023-10-23 22:26:06.883666,1.15,0.37,2.78
2023-10-23 22:26:08.074796,1.16,0.38,2.8
2023-10-23 22:26:09.265649,1.16,0.39,2.8
2023-10-23 22:26:10.456231,1.18,0.4,2.79
2023-10-23 22:26:11.651661,1.18,0.41,2.79
2023-10-23 22:26:12.838637,1.18,0.41,2.77
2023-10-23 22:26:14.028861,1.2,0.43,2.77
2023-10-23 22:26:15.220497,1.2,0.44,2.79
2023-10-23 22:26:16.411605,1.2,0.44,2.78
2023-10-23 22:26:17.602529,1.22,0.46,2.79
2023-10-23 22:26:18.797070,1.23,0.46,2.78
2023-10-23 22:26:19.984211,1.22,0.47,2.77
2023-10-23 22:26:21.174646,1.21,0.47,2.78
2023-10-23 22:26:22.365652,1.22,0.48,2.78
2023-10-23 22:26:23.557428,1.21,0.51,2.78
2023-10-23 22:26:24.748409,1.23,0.52,2.77
2023-10-23 22:26:25.938463,1.22,0.53,2.75
2023-10-23 22:26:27.130320,1.24,0.53,2.76
2023-10-23 22:26:28.321151,1.23,0.55,2.77
2023-10-23 22:26:29.512418,1.24,0.56,2.78
2023-10-23 22:26:30.703249,1.23,0.56,2.77
2023-10-23 22:26:31.894064,1.23,0.59,2.8
2023-10-23 22:26:33.084639,1.25,0.6,2.8
2023-10-23 22:26:34.275967,1.26,0.62,2.81
2023-10-23 22:26:35.467126,1.27,0.62,2.81
2023-10-23 22:26:36.658080,1.28,0.63,2.82
2023-10-23 22:26:37.849052,1.28,0.64,2.8
2023-10-23 22:26:39.040062,1.31,0.65,2.81
2023-10-23 22:26:40.230856,1.32,0.67,2.82
2023-10-23 22:26:41.421898,1.31,0.68,2.83
2023-10-23 22:26:42.612235,1.33,0.68,2.85
2023-10-23 22:26:43.803764,1.33,0.69,2.85
2023-10-23 22:26:44.994887,1.33,0.71,2.85
2023-10-23 22:26:46.185642,1.33,0.72,2.85
2023-10-23 22:26:47.376648,1.34,0.74,2.86
2023-10-23 22:26:48.567631,1.33,0.74,2.86
2023-10-23 22:26:49.758713,1.32,0.76,2.87
2023-10-23 22:26:50.949707,1.34,0.75,2.87
2023-10-23 22:26:52.140703,1.32,0.75,2.87
2023-10-23 22:26:53.331493,1.33,0.74,2.87
2023-10-23 22:26:54.522614,1.34,0.74,2.87
2023-10-23 22:26:55.714369,1.33,0.77,2.89
2023-10-23 22:26:56.904220,1.35,0.78,2.89
2023-10-23 22:26:58.095012,1.37,0.77,2.89
2023-10-23 22:26:59.286332,1.36,0.77,2.9
2023-10-23 22:27:00.477469,1.37,0.77,2.9
